Name Of Zone / Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Average
Ahmedabad,605,605,605,605,605,-,605,605,605,605,605,605,615,620,625,630,640,645,650,660,665,670,675,675,675,675,675,675,-,-,634.26
Ajmer,-,593,-,593,605,605,605,605,605,-,600,611,621,623,625,631,638,645,651,665,668,668,668,668,651,651,640,640,-,-,631.0
Allahabad (CC),629,629,619,619,619,633,638,638,638,638,638,638,652,657,662,671,686,690,690,700,705,705,700,700,690,690,681,676,-,-,661.82
Barwala,596,596,596,-,601,603,603,603,603,603,603,608,615,618,621,626,635,642,649,662,666,666,666,666,650,650,650,650,-,-,627.67
Bengaluru (CC),595,595,595,595,600,605,610,615,620,625,625,630,635,640,645,650,655,660,665,670,675,675,675,675,675,675,675,675,-,-,640.36
Bhopal,610,600,600,600,-,610,640,615,615,615,615,615,615,640,645,660,670,675,675,690,695,700,700,700,700,670,670,650,-,-,647.78
Brahmapur (OD),600,590,590,590,605,605,620,620,620,620,620,625,625,635,635,640,-,645,655,660,665,665,670,670,670,650,650,-,-,-,632.31
Chennai (CC),600,600,600,600,610,610,620,620,-,630,630,640,640,650,660,-,670,670,670,670,680,680,680,680,680,680,680,680,-,-,647.31
Chittoor,593,-,593,593,603,603,613,613,623,623,623,633,633,643,653,653,663,663,663,663,673,673,673,673,673,673,673,673,-,-,641.89
Delhi (CC),623,623,623,623,630,635,635,635,635,635,635,635,650,650,660,665,670,680,680,700,700,-,700,700,690,680,680,-,-,-,656.62
E.Godavari,580,580,580,580,585,590,595,600,600,600,600,600,605,610,615,620,625,625,630,638,645,645,645,645,645,645,645,615,-,-,613.86
Hospet,535,535,535,535,540,545,550,555,560,565,565,570,575,580,585,590,595,600,605,610,615,615,615,615,615,615,615,615,-,-,580.36
Hyderabad,570,570,570,570,570,575,580,585,590,590,590,590,595,600,605,610,615,620,625,630,635,640,645,650,650,650,650,630,-,-,607.14
Indore (CC),595,595,-,595,600,-,610,615,615,615,615,620,630,650,650,660,-,665,675,680,685,685,685,685,675,660,655,650,-,-,642.6
Jabalpur,595,595,595,595,605,-,605,605,605,605,605,605,615,625,635,645,655,660,665,680,690,695,695,695,665,665,655,655,-,-,637.41
Kanpur (CC),629,629,629,629,629,643,643,-,643,643,643,643,657,657,657,671,671,686,685,700,700,700,700,700,690,690,676,676,-,-,663.67
Kolkata (WB),650,635,635,635,655,655,665,665,665,665,665,675,675,685,685,685,690,690,705,710,710,710,715,715,715,690,680,670,-,-,678.39
Ludhiana,598,598,598,-,598,603,603,603,603,603,603,603,609,613,615,623,628,637,643,653,665,665,665,665,665,650,650,650,-,-,626.26
Luknow (CC),648,648,648,648,648,667,667,-,667,667,667,667,676,676,677,690,693,700,700,714,714,714,714,714,714,714,700,700,-,-,683.41
Mumbai (CC),635,635,625,625,630,640,645,650,655,655,655,655,660,665,670,675,685,690,695,700,705,710,715,720,720,710,700,700,-,-,672.32
Muzaffurpur (CC),655,655,655,655,660,665,665,-,665,665,665,668,675,678,681,685,695,700,710,723,726,726,726,726,726,710,710,710,-,-,688.15
Mysuru,595,595,595,595,600,605,612,612,622,627,627,632,638,643,648,653,658,662,667,670,675,675,675,675,675,675,-,675,-,-,640.04
Nagpur,-,610,-,600,-,-,620,625,625,625,625,630,630,640,650,650,-,675,690,701,710,710,710,710,710,680,680,675,-,-,660.04
Namakkal,540,540,540,540,545,550,555,560,565,570,570,575,580,585,590,595,600,600,605,605,610,610,610,610,610,610,610,610,-,-,581.79
Patna,655,655,655,655,660,665,665,-,665,665,665,668,675,678,681,685,695,700,710,723,726,726,726,726,726,710,710,710,-,-,688.15
Pune,631,631,631,631,631,641,645,651,651,651,651,651,656,661,666,671,680,690,701,710,710,715,715,720,720,720,710,700,-,-,672.89
Raipur,585,575,560,560,-,-,585,590,595,595,595,595,605,620,620,630,645,655,660,670,675,675,675,675,675,665,655,655,-,-,626.54
Ranchi  (CC),633,633,633,633,642,642,642,-,642,657,657,657,-,667,667,680,686,686,704,704,714,714,726,726,726,725,714,704,-,-,677.46
Surat,610,610,610,610,610,-,625,610,630,630,630,635,640,645,650,655,660,665,670,675,685,695,695,695,695,695,695,685,-,-,652.22
Varanasi (CC),640,640,640,640,640,646,650,-,650,650,650,650,660,667,677,683,693,700,707,710,713,713,713,713,707,707,707,707,-,-,676.78
Vijayawada,575,575,575,575,575,585,585,600,600,600,600,600,600,600,625,625,635,640,650,660,660,660,660,660,660,660,660,640,-,-,619.29
Vizag,570,570,570,570,570,575,580,585,585,585,585,585,590,595,600,605,610,610,615,625,635,635,635,635,635,635,635,610,-,-,601.25
W.Godavari,580,580,580,580,585,590,595,600,600,600,600,600,605,610,615,620,625,625,630,638,645,645,645,645,645,645,645,615,-,-,613.86
Warangal,-,572,572,572,-,577,582,-,592,592,-,592,597,602,607,612,617,622,627,632,637,642,647,652,652,652,652,-,-,-,613.09
