Name Of Zone / Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Average
Ahmedabad,530,530,530,530,535,540,545,545,530,-,530,530,-,540,545,545,545,545,-,525,525,525,-,-,-,-,-,-,535.26
Ajmer,465,470,470,470,485,490,490,470,450,455,455,460,480,483,483,485,485,485,475,475,465,465,-,-,-,-,-,-,473.23
Allahabad (CC),519,510,510,519,529,529,529,529,519,514,510,510,524,533,533,533,533,533,524,524,524,524,-,-,-,-,-,-,523.27
Barwala,441,444,448,452,470,474,474,454,440,443,443,447,468,473,473,475,475,475,475,475,475,475,-,-,-,-,-,-,462.23
Bengaluru (CC),575,560,560,560,560,560,560,560,-,560,560,560,570,-,580,585,590,590,590,590,570,570,-,-,-,-,-,-,570.5
Bhopal,500,500,500,500,500,510,510,510,500,500,485,485,500,520,520,520,520,510,510,500,490,490,-,-,-,-,-,-,503.64
Brahmapur (OD),500,482,482,482,490,500,500,500,500,500,475,475,510,520,530,530,510,510,510,510,510,510,-,-,-,-,-,-,501.64
Chennai (CC),580,580,580,570,570,570,570,570,570,570,570,580,590,590,590,600,600,600,600,600,580,580,-,-,-,-,-,-,582.27
Chittoor,573,573,573,563,563,563,563,563,563,563,563,573,583,583,583,593,593,593,593,593,573,573,-,-,-,-,-,-,575.27
Delhi (CC),490,490,490,490,510,510,510,510,500,480,480,480,500,510,510,510,510,510,510,510,510,510,-,-,-,-,-,-,501.36
E.Godavari,515,467,470,475,480,480,485,485,485,485,485,485,495,505,510,515,515,515,515,515,490,490,-,-,-,-,-,-,493.73
Hospet,515,500,500,500,500,500,500,500,-,500,500,500,510,-,520,525,530,530,530,530,510,510,-,-,-,-,-,-,510.5
Hyderabad,515,485,485,485,485,490,495,495,495,495,495,495,500,510,515,520,520,520,520,520,495,-,-,-,-,-,-,-,501.67
Indore (CC),490,500,500,500,510,520,520,510,490,490,490,500,-,510,510,510,510,510,-,-,505,-,-,-,-,-,-,-,504.17
Jabalpur,505,505,505,505,505,510,510,510,510,510,495,495,505,515,515,515,515,515,515,515,500,500,-,-,-,-,-,-,507.95
Kanpur (CC),490,490,490,500,510,510,510,500,486,486,486,486,500,510,510,510,510,510,500,500,500,500,-,-,-,-,-,-,499.73
Kolkata (WB),530,530,530,530,530,545,545,545,535,535,515,515,560,570,575,575,560,550,550,550,550,550,-,-,-,-,-,-,544.32
Ludhiana,455,455,455,455,457,473,473,473,455,440,443,443,452,472,472,472,475,475,475,475,475,475,-,-,-,-,-,-,463.41
Luknow (CC),524,524,524,533,533,533,533,524,514,514,514,514,529,533,533,533,533,533,524,524,524,524,-,-,-,-,-,-,526.09
Mumbai (CC),570,560,550,550,555,560,565,570,570,570,560,550,560,570,580,585,585,585,585,570,565,555,-,-,-,-,-,-,566.82
Muzaffurpur (CC),500,500,505,510,525,525,525,510,490,495,490,490,510,515,-,520,520,520,515,515,-,505,-,-,-,-,-,-,509.25
Mysuru,577,562,562,562,562,562,562,562,562,562,562,562,572,577,582,587,592,592,592,592,570,570,-,-,-,-,-,-,572.05
Nagpur,510,500,500,500,500,510,520,520,530,515,505,505,515,515,525,530,530,530,530,520,520,520,-,-,-,-,-,-,515.91
Namakkal,525,525,525,525,525,525,525,525,525,525,525,525,530,530,530,535,540,540,540,540,520,520,-,-,-,-,-,-,528.41
Patna,500,500,505,510,525,525,525,510,490,495,490,490,510,515,-,520,520,520,515,515,-,505,-,-,-,-,-,-,509.25
Pune,570,560,560,550,555,560,565,565,565,565,555,555,560,570,575,580,580,580,580,570,560,555,-,-,-,-,-,-,565.23
Raipur,492,480,475,476,475,480,475,490,490,470,465,465,490,505,510,510,510,500,485,485,485,485,-,-,-,-,-,-,486.27
Ranchi  (CC),548,542,528,514,528,528,528,528,528,528,523,523,571,571,548,548,538,538,528,514,514,514,-,-,-,-,-,-,533.18
Surat,545,545,545,545,545,550,555,555,555,-,545,540,-,545,550,550,555,555,-,545,535,535,-,-,-,-,-,-,547.11
Varanasi (CC),517,500,500,510,517,523,523,517,510,500,500,500,517,523,523,523,523,523,517,517,517,517,-,-,-,-,-,-,514.41
Vijayawada,515,500,500,500,505,505,515,515,515,515,515,515,525,525,525,525,525,525,525,530,-,530,-,-,-,-,-,-,516.67
Vizag,515,490,490,490,490,490,490,490,490,490,490,490,490,505,510,515,515,515,515,515,500,500,-,-,-,-,-,-,499.32
W.Godavari,515,467,470,475,480,480,485,485,485,485,485,485,495,505,510,515,515,515,515,515,490,490,-,-,-,-,-,-,493.73
Warangal,517,487,487,487,487,492,497,497,497,497,497,497,502,512,517,522,522,522,522,522,497,497,-,-,-,-,-,-,503.36
