Name Of Zone / Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Average
Ahmedabad,455,455,455,455,-,455,460,470,475,485,500,520,-,535,535,535,535,-,-,535,535,-,535,535,535,535,535,535,535,535,507.0
Ajmer,425,415,407,417,417,417,450,453,455,464,478,515,525,525,520,500,480,470,460,460,475,490,490,480,470,465,465,475,485,485,467.77
Allahabad (CC),481,481,476,471,471,471,486,490,500,510,524,543,567,567,567,567,552,538,533,533,533,538,543,548,538,538,538,538,543,543,524.27
Barwala,433,433,433,433,433,433,451,455,459,466,478,515,530,530,530,530,487,487,487,487,487,499,503,503,503,475,475,483,491,491,480.0
Bengaluru (CC),455,455,455,455,455,455,455,455,465,470,480,505,530,560,565,570,-,570,570,570,570,570,575,575,575,-,575,575,575,580,523.75
Bhopal,435,435,435,420,420,420,435,445,450,465,475,505,535,540,540,-,525,525,490,490,490,490,510,510,510,510,510,510,515,515,484.66
Brahmapur (OD),455,455,455,455,-,455,455,460,460,465,480,510,530,545,550,550,540,520,515,515,510,525,535,535,535,520,520,520,525,530,504.31
Chennai (CC),470,470,470,470,470,470,470,470,480,480,495,520,545,565,565,575,575,575,575,575,575,575,575,575,575,-,575,575,575,590,533.62
Chittoor,463,463,463,463,463,463,463,463,473,473,488,513,538,558,558,568,568,568,568,568,568,568,568,568,568,568,568,568,568,583,528.0
Delhi (CC),460,460,460,460,460,460,485,490,490,500,520,548,555,555,555,555,555,530,520,520,520,530,530,530,530,530,505,505,515,515,511.6
E.Godavari,430,435,435,435,435,435,435,440,445,450,460,485,510,525,530,530,530,500,495,495,495,505,515,-,515,515,495,500,505,510,482.41
Hospet,395,395,395,395,395,395,395,395,405,410,420,445,470,500,505,510,-,510,510,510,510,510,515,515,515,-,515,515,515,520,463.75
Hyderabad,420,-,420,420,420,420,420,420,430,440,450,475,500,510,520,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,487.59
Indore (CC),440,435,430,-,440,440,455,460,465,470,480,530,540,540,540,520,510,500,490,490,500,520,520,500,490,490,490,500,505,500,489.31
Jabalpur,430,430,420,420,420,420,435,440,450,450,470,500,535,545,550,550,550,525,515,515,515,525,525,525,525,525,515,515,515,520,492.5
Kanpur (CC),462,462,452,452,452,452,471,481,490,500,519,538,548,548,548,548,524,500,500,500,500,514,514,514,500,500,500,500,500,500,499.63
Kolkata (WB),515,515,515,515,515,515,515,520,525,530,540,565,580,590,590,590,575,570,570,570,570,580,590,590,590,570,570,575,580,585,557.33
Ludhiana,432,432,432,432,432,432,432,447,452,463,470,493,524,526,526,526,526,485,485,485,485,490,505,505,505,480,480,480,485,490,477.9
Luknow (CC),467,467,462,462,462,462,490,490,500,505,524,550,560,560,560,560,547,533,523,523,523,533,533,533,523,523,523,523,523,523,515.57
Mumbai (CC),470,480,480,480,480,480,480,480,485,495,-,-,535,555,575,585,595,595,595,585,575,575,575,580,580,580,580,570,570,570,542.32
Muzaffurpur (CC),495,-,495,-,495,495,510,515,520,-,540,580,590,590,590,590,540,540,540,-,-,560,565,565,555,545,535,545,555,555,544.2
Mysuru,460,460,460,460,460,460,460,460,475,480,495,520,550,575,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,585,535.33
Nagpur,440,440,440,430,430,440,440,450,460,460,480,490,530,570,570,570,570,550,540,-,540,540,550,575,575,550,550,540,540,540,510.34
Namakkal,405,-,405,405,406,405,405,405,415,420,430,455,480,500,505,510,510,-,-,510,510,510,-,510,-,-,520,520,520,530,466.29
Patna,495,-,495,-,495,495,510,515,520,-,540,580,590,590,590,590,540,540,540,-,-,560,565,565,555,545,535,545,555,555,544.2
Pune,465,470,470,470,470,470,475,480,485,495,505,525,545,565,575,585,585,585,585,585,585,585,585,585,585,585,585,580,585,580,541.0
Raipur,425,430,430,430,-,410,410,435,435,435,470,500,500,545,550,550,540,525,500,500,500,505,505,520,520,520,495,495,500,505,485.69
Ranchi  (CC),467,467,476,476,-,476,476,486,486,495,510,562,572,581,581,571,561,561,561,548,548,562,571,572,572,561,561,561,561,571,536.31
Surat,455,455,455,455,-,455,460,470,475,485,500,520,-,550,550,550,550,-,-,535,535,-,535,535,535,535,535,535,535,535,509.4
Varanasi (CC),477,477,467,460,460,467,490,497,507,513,527,550,567,567,567,567,557,548,533,533,533,540,543,543,543,527,527,533,540,540,523.33
Vijayawada,450,450,450,450,450,450,455,460,460,470,480,500,550,550,560,550,540,525,510,500,-,500,510,510,510,510,500,500,505,-,494.82
Vizag,435,440,440,440,440,440,440,445,450,455,465,485,510,525,530,530,530,510,-,500,500,510,520,520,520,520,500,500,505,510,486.72
W.Godavari,430,435,435,435,-,435,435,440,445,450,-,-,510,525,530,530,530,500,495,495,495,505,515,515,515,515,495,500,505,510,486.11
Warangal,422,422,422,422,422,422,422,422,432,442,452,477,502,512,-,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,486.14
