Name Of Zone / Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Average
Ahmedabad,455,455,455,455,-,455,460,470,475,485,500,520,-,535,535,535,535,-,-,-,-,-,-,-,-,-,-,-,-,-,488.33
Ajmer,425,415,407,417,417,417,450,453,455,464,478,515,525,525,520,500,480,470,-,-,-,-,-,-,-,-,-,-,-,-,462.94
Allahabad (CC),481,481,476,471,471,471,486,490,500,510,524,543,567,567,567,567,552,538,-,-,-,-,-,-,-,-,-,-,-,-,514.56
Barwala,433,433,433,433,433,433,451,455,459,466,478,515,530,530,530,530,487,487,-,-,-,-,-,-,-,-,-,-,-,-,473.11
Bengaluru (CC),455,455,455,455,455,455,455,455,465,470,480,505,530,560,565,570,-,570,-,-,-,-,-,-,-,-,-,-,-,-,491.47
Bhopal,435,435,435,420,420,420,435,445,450,465,475,505,535,540,540,-,525,525,-,-,-,-,-,-,-,-,-,-,-,-,470.88
Brahmapur (OD),455,455,455,455,-,455,455,460,460,465,480,510,530,545,550,550,540,520,-,-,-,-,-,-,-,-,-,-,-,-,490.59
Chennai (CC),470,470,470,470,470,470,470,470,480,480,495,520,545,565,565,575,575,575,-,-,-,-,-,-,-,-,-,-,-,-,507.5
Chittoor,463,463,463,463,463,463,463,463,473,473,488,513,538,558,558,568,568,568,-,-,-,-,-,-,-,-,-,-,-,-,500.5
Delhi (CC),460,460,460,460,460,460,485,490,490,500,520,548,555,555,555,555,555,530,-,-,-,-,-,-,-,-,-,-,-,-,505.44
E.Godavari,430,435,435,435,435,435,435,440,445,450,460,485,510,525,530,530,530,500,-,-,-,-,-,-,-,-,-,-,-,-,469.17
Hospet,395,395,395,395,395,395,395,395,405,410,420,445,470,500,505,510,-,510,-,-,-,-,-,-,-,-,-,-,-,-,431.47
Hyderabad,420,-,420,420,420,420,420,420,430,440,450,475,500,510,520,525,525,525,-,-,-,-,-,-,-,-,-,-,-,-,461.18
Indore (CC),440,435,430,-,440,440,455,460,465,470,480,530,540,540,540,520,510,500,-,-,-,-,-,-,-,-,-,-,-,-,482.06
Jabalpur,430,430,420,420,420,420,435,440,450,450,470,500,535,545,550,550,550,525,-,-,-,-,-,-,-,-,-,-,-,-,474.44
Kanpur (CC),462,462,452,452,452,452,471,481,490,500,519,538,548,548,548,548,524,500,-,-,-,-,-,-,-,-,-,-,-,-,497.06
Kolkata (WB),515,515,515,515,515,515,515,520,525,530,540,565,580,590,590,590,575,570,-,-,-,-,-,-,-,-,-,-,-,-,543.33
Ludhiana,432,432,432,432,432,432,432,447,452,463,470,493,524,526,526,526,526,485,-,-,-,-,-,-,-,-,-,-,-,-,470.11
Luknow (CC),467,467,462,462,462,462,490,490,500,505,524,550,560,560,560,560,547,533,-,-,-,-,-,-,-,-,-,-,-,-,508.94
Mumbai (CC),470,480,480,480,480,480,480,480,485,495,-,-,535,555,575,585,595,595,-,-,-,-,-,-,-,-,-,-,-,-,515.62
Muzaffurpur (CC),495,-,495,-,495,495,510,515,520,-,540,580,590,590,590,590,540,540,-,-,-,-,-,-,-,-,-,-,-,-,539.0
Mysuru,460,460,460,460,460,460,460,460,475,480,495,520,550,575,580,580,580,580,-,-,-,-,-,-,-,-,-,-,-,-,505.28
Nagpur,440,440,440,430,430,440,440,450,460,460,480,490,530,570,570,570,570,550,-,-,-,-,-,-,-,-,-,-,-,-,486.67
Namakkal,405,-,405,405,406,405,405,405,415,420,430,455,480,500,505,510,510,-,-,-,-,-,-,-,-,-,-,-,-,-,441.31
Patna,495,-,495,-,495,495,510,515,520,-,540,580,590,590,590,590,540,540,-,-,-,-,-,-,-,-,-,-,-,-,539.0
Pune,465,470,470,470,470,470,475,480,485,495,505,525,545,565,575,585,585,585,-,-,-,-,-,-,-,-,-,-,-,-,512.22
Raipur,425,430,430,430,-,410,410,435,435,435,470,500,500,545,550,550,540,525,-,-,-,-,-,-,-,-,-,-,-,-,471.76
Ranchi  (CC),467,467,476,476,-,476,476,486,486,495,510,562,572,581,581,571,561,561,-,-,-,-,-,-,-,-,-,-,-,-,517.88
Surat,455,455,455,455,-,455,460,470,475,485,500,520,-,550,550,550,550,-,-,-,-,-,-,-,-,-,-,-,-,-,492.33
Varanasi (CC),477,477,467,460,460,467,490,497,507,513,527,550,567,567,567,567,557,548,-,-,-,-,-,-,-,-,-,-,-,-,514.72
Vijayawada,450,450,450,450,450,450,455,460,460,470,480,500,550,550,560,550,540,525,-,-,-,-,-,-,-,-,-,-,-,-,488.89
Vizag,435,440,440,440,440,440,440,445,450,455,465,485,510,525,530,530,530,510,-,-,-,-,-,-,-,-,-,-,-,-,472.78
W.Godavari,430,435,435,435,-,435,435,440,445,450,-,-,510,525,530,530,530,500,-,-,-,-,-,-,-,-,-,-,-,-,471.0
Warangal,422,422,422,422,422,422,422,422,432,442,452,477,502,512,-,527,527,527,-,-,-,-,-,-,-,-,-,-,-,-,457.29
