Name Of Zone / Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Average
Ahmedabad,535,535,535,-,535,-,535,535,535,535,540,545,545,545,545,545,-,550,550,550,550,550,550,550,550,550,550,550,550,-,-,544.04
Ajmer,480,480,475,475,485,485,485,490,495,507,510,510,510,510,500,500,515,515,505,500,490,490,495,502,502,502,502,502,502,-,-,497.21
Allahabad (CC),543,543,543,538,538,538,543,543,548,552,557,562,562,562,557,552,562,562,562,562,562,552,552,557,557,557,557,557,557,-,-,553.0
Barwala,491,491,491,491,491,491,491,494,501,512,518,518,518,518,518,518,520,520,520,502,502,502,502,502,502,502,502,502,505,-,-,504.66
Bengaluru (CC),580,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,595,600,600,600,600,600,600,605,610,615,620,620,620,-,-,597.07
Bhopal,-,515,515,-,515,515,515,515,500,510,515,520,520,520,520,510,510,520,-,520,505,505,525,535,545,545,545,545,545,-,-,521.15
Brahmapur (OD),540,540,540,540,540,530,525,530,530,545,545,550,550,550,550,545,550,550,550,535,535,535,545,545,550,550,555,560,560,-,-,543.79
Chennai (CC),590,600,600,600,600,600,600,600,600,-,600,600,600,600,600,610,620,625,625,625,625,625,625,630,635,635,635,635,635,-,-,613.39
Chittoor,583,593,-,593,-,-,-,593,593,593,593,593,593,593,593,603,613,618,618,618,618,618,618,623,628,628,628,628,628,-,-,608.0
Delhi (CC),515,515,515,515,515,515,515,520,530,540,550,550,550,550,550,540,540,540,540,540,540,540,540,540,540,540,540,540,540,-,-,534.66
E.Godavari,515,515,515,515,515,515,500,505,505,510,520,530,530,530,530,520,525,530,530,510,510,510,-,525,530,530,530,535,535,-,-,520.36
Hospet,520,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,535,540,540,540,540,540,540,545,550,555,560,560,560,-,-,537.07
Hyderabad,525,525,525,525,-,525,505,505,505,505,510,515,515,515,515,515,520,525,530,530,530,530,535,540,545,550,555,555,555,-,-,526.07
Indore (CC),-,-,500,-,510,510,510,515,520,530,535,535,535,535,525,525,535,535,525,525,515,515,525,530,530,530,530,530,530,-,-,524.62
Jabalpur,520,510,510,510,510,510,510,510,510,520,535,535,535,535,535,525,525,535,535,535,535,535,540,545,550,550,550,550,550,-,-,529.48
Kanpur (CC),500,500,500,500,500,500,500,519,529,538,548,548,548,548,548,538,538,538,538,538,524,524,524,524,524,524,524,524,524,-,-,525.24
Kolkata (WB),590,590,590,590,590,590,575,580,580,585,595,605,605,605,605,595,600,605,590,590,585,585,595,595,600,600,605,610,610,-,-,594.48
Ludhiana,490,490,490,490,490,490,490,490,494,503,516,516,516,516,516,516,518,520,520,520,502,502,502,502,502,502,502,502,502,-,-,503.76
Luknow (CC),523,523,523,523,523,523,523,533,540,550,567,567,567,567,567,552,567,560,560,560,552,552,552,552,546,546,546,546,546,-,-,546.76
Mumbai (CC),575,580,585,585,585,585,575,570,560,560,565,575,580,580,580,580,580,585,590,590,590,590,595,600,605,610,615,620,620,-,-,586.55
Muzaffurpur (CC),555,555,-,550,550,550,550,555,560,570,580,580,580,580,580,580,580,580,577,565,565,565,565,565,565,565,565,565,565,-,-,566.5
Mysuru,585,595,595,595,595,595,595,595,595,-,595,595,595,595,595,595,595,610,610,610,610,610,610,615,620,625,630,630,630,-,-,604.29
Nagpur,545,550,550,550,550,550,540,530,530,535,535,555,560,560,560,540,540,540,-,565,565,565,570,575,575,590,590,590,590,-,-,556.96
Namakkal,-,540,-,540,540,540,540,540,540,-,540,540,540,540,540,550,555,560,560,560,560,560,560,565,570,570,570,570,570,-,-,552.31
Patna,555,555,-,550,550,550,550,555,560,570,580,580,580,580,580,580,580,580,577,565,565,565,565,565,565,565,565,565,565,-,-,566.5
Pune,580,580,580,580,580,580,575,575,570,570,570,575,575,575,575,575,580,585,-,590,590,590,595,600,605,610,615,615,615,-,-,585.89
Raipur,505,510,510,510,510,510,510,495,495,500,515,515,515,515,515,525,525,535,535,520,520,525,525,525,550,550,550,550,550,-,-,521.21
Ranchi  (CC),581,581,581,581,581,571,562,571,571,571,571,571,571,586,586,586,586,586,586,571,571,571,571,671,571,585,585,585,590,-,-,581.07
Surat,535,540,540,-,540,-,540,540,540,540,540,545,550,550,550,550,-,555,560,560,565,565,565,575,580,585,585,585,585,-,-,556.35
Varanasi (CC),540,540,533,533,533,533,543,550,550,560,567,567,567,562,557,557,567,567,567,560,560,550,550,550,550,550,555,555,550,-,-,552.52
Vijayawada,515,525,530,535,525,515,500,505,505,515,525,535,535,535,535,520,530,535,550,525,525,525,525,550,560,565,570,575,575,-,-,533.28
Vizag,515,515,515,515,515,515,515,515,515,515,525,535,535,535,535,525,525,530,530,520,520,520,525,525,530,530,530,535,535,-,-,523.97
W.Godavari,515,515,-,515,515,515,500,505,505,510,520,530,530,530,-,520,525,530,530,510,510,510,520,525,530,530,530,535,535,-,-,520.19
Warangal,527,527,527,527,527,527,507,507,507,507,512,517,517,517,517,517,522,527,532,532,532,532,537,542,547,552,557,557,557,-,-,528.03
