Name Of Zone / Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Average
Ahmedabad,575,575,575,575,-,575,580,580,580,585,590,-,610,620,620,620,620,620,630,640,640,640,640,-,655,660,-,-,-,-,608.91
Ajmer,515,515,520,525,535,545,548,548,551,555,559,565,585,601,605,595,590,595,-,600,595,580,590,620,-,620,-,-,-,-,569.04
Allahabad (CC),571,571,576,576,581,586,586,586,590,600,600,605,624,643,643,648,648,648,648,657,657,657,652,652,667,671,-,-,-,-,620.88
Barwala,518,518,518,518,525,531,534,534,542,546,549,559,575,597,602,602,602,602,602,602,602,602,602,602,610,614,-,-,-,-,569.54
Bengaluru (CC),620,620,620,620,620,625,625,630,630,635,640,650,665,-,690,695,700,705,705,705,705,705,705,705,705,705,-,-,-,-,665.2
Bhopal,555,555,555,540,550,560,560,565,570,580,-,590,600,-,630,630,615,630,-,630,630,630,630,640,650,660,-,-,-,-,598.04
Brahmapur (OD),570,570,570,560,570,580,585,590,590,600,605,615,630,636,640,640,640,640,645,645,650,650,650,650,660,660,-,-,-,-,616.96
Chennai (CC),635,635,635,635,635,640,640,645,645,650,655,670,680,690,700,705,710,715,715,715,715,715,715,715,715,715,-,-,-,-,678.46
Chittoor,628,628,628,628,628,633,633,638,638,643,648,663,673,683,693,698,703,708,708,708,-,708,708,708,708,708,-,-,-,-,670.0
Delhi (CC),545,545,545,545,555,555,555,555,565,570,570,585,601,620,620,620,620,620,620,625,625,625,625,625,640,640,-,-,-,-,592.92
E.Godavari,545,545,545,535,540,545,550,555,560,565,570,580,595,610,620,625,625,625,625,625,625,625,625,625,630,635,-,-,-,-,590.38
Hospet,560,560,560,560,560,565,565,570,570,575,580,590,605,-,630,635,640,645,645,645,645,645,645,645,645,645,-,-,-,-,605.2
Hyderabad,555,555,555,555,555,555,560,565,570,575,580,590,600,610,620,625,630,635,635,635,635,635,635,635,635,640,-,-,-,-,599.04
Indore (CC),540,540,540,550,560,570,570,570,575,580,-,590,610,-,630,620,615,615,-,625,625,610,625,650,-,650,-,-,-,-,593.64
Jabalpur,560,560,560,560,565,575,575,575,575,585,585,595,610,620,630,630,630,630,630,640,640,640,640,645,645,655,-,-,-,-,605.96
Kanpur (CC),548,548,557,557,567,567,567,567,567,576,576,590,600,614,614,614,614,614,614,624,624,624,624,624,638,638,-,-,-,-,594.88
Kolkata (WB),620,620,610,610,620,625,630,635,640,645,650,665,680,685,695,700,700,700,700,700,700,700,700,700,705,710,-,-,-,-,667.12
Ludhiana,519,519,519,519,519,532,534,534,534,546,546,551,565,595,598,598,598,598,598,600,600,600,600,600,602,616,-,-,-,-,566.92
Luknow (CC),557,563,563,563,567,567,567,567,567,583,583,605,617,623,623,633,633,633,633,633,633,633,633,633,650,657,-,-,-,-,604.58
Mumbai (CC),620,620,620,620,620,620,625,630,635,640,645,650,660,670,680,690,700,705,710,710,710,710,710,710,710,710,-,-,-,-,666.54
Muzaffurpur (CC),580,580,580,580,585,590,595,595,600,605,610,620,640,655,660,660,660,660,660,660,660,650,650,655,670,675,-,-,-,-,628.27
Mysuru,630,630,630,630,630,635,635,640,640,645,650,660,685,700,710,712,714,720,720,720,720,720,720,720,-,720,-,-,-,-,677.44
Nagpur,600,600,600,590,580,580,605,605,620,625,625,625,640,650,650,665,675,675,675,660,660,675,650,650,660,670,-,-,-,-,635.0
Namakkal,570,570,570,570,570,575,575,580,580,585,590,600,610,620,630,635,640,645,645,645,645,645,645,645,645,645,-,-,-,-,610.58
Patna,580,580,580,580,585,590,595,595,600,605,610,620,640,655,660,660,660,660,660,660,660,650,650,655,670,675,-,-,-,-,628.27
Pune,620,620,620,620,620,620,625,630,635,640,645,650,660,670,680,690,695,700,705,705,705,705,705,705,710,715,-,-,-,-,665.19
Raipur,555,555,555,555,555,555,560,565,570,575,580,590,610,610,640,640,640,640,640,640,640,640,640,630,640,640,-,-,-,-,602.31
Ranchi  (CC),595,595,595,590,590,600,600,609,609,609,610,629,652,652,657,657,657,657,657,657,657,657,657,657,676,676,-,-,-,-,632.96
Surat,595,600,600,600,-,600,605,605,605,610,610,-,625,635,645,650,650,655,660,665,665,665,665,-,675,680,-,-,-,-,633.26
Varanasi (CC),570,570,570,570,573,583,583,583,583,593,593,593,610,627,633,640,640,640,640,650,650,643,643,650,660,667,-,-,-,-,613.73
Vijayawada,580,580,580,570,570,585,600,600,600,600,610,620,650,650,660,660,665,670,675,675,675,675,675,675,675,675,-,-,-,-,632.69
Vizag,545,545,545,-,540,545,550,555,560,565,570,585,600,615,625,630,630,630,630,635,635,635,635,635,635,635,-,-,-,-,596.4
W.Godavari,545,545,545,535,540,545,550,555,560,565,570,580,595,610,620,625,625,625,625,625,625,625,625,625,630,635,-,-,-,-,590.38
Warangal,557,557,557,557,557,557,562,567,572,577,582,592,602,602,622,627,632,637,637,637,637,637,637,637,637,642,-,-,-,-,600.65
