Name Of Zone / Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Average
Ahmedabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,540,-,-,-,-,-,-,-,-,-,540.0
Ajmer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,490,-,-,-,-,-,-,-,-,-,490.0
Allahabad (CC),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,533,-,-,-,-,-,-,-,-,-,533.0
Barwala,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,505,-,-,-,-,-,-,-,-,-,505.0
Bengaluru (CC),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,540,-,-,-,-,-,-,-,-,-,540.0
Bhopal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,510,-,-,-,-,-,-,-,-,-,510.0
Brahmapur (OD),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,540,-,-,-,-,-,-,-,-,-,540.0
Chennai (CC),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,565,-,-,-,-,-,-,-,-,-,565.0
Chittoor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,558,-,-,-,-,-,-,-,-,-,558.0
Delhi (CC),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,525,-,-,-,-,-,-,-,-,-,525.0
E.Godavari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,520,-,-,-,-,-,-,-,-,-,520.0
Hospet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,480,-,-,-,-,-,-,-,-,-,480.0
Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,495,-,-,-,-,-,-,-,-,-,495.0
Indore (CC),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,510,-,-,-,-,-,-,-,-,-,510.0
Jabalpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,515,-,-,-,-,-,-,-,-,-,515.0
Kanpur (CC),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,524,-,-,-,-,-,-,-,-,-,524.0
Kolkata (WB),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,595,-,-,-,-,-,-,-,-,-,595.0
Ludhiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,505,-,-,-,-,-,-,-,-,-,505.0
Luknow (CC),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,567,-,-,-,-,-,-,-,-,-,567.0
Mumbai (CC),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,550,-,-,-,-,-,-,-,-,-,550.0
Muzaffurpur (CC),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,565,-,-,-,-,-,-,-,-,-,565.0
Mysuru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,548,-,-,-,-,-,-,-,-,-,548.0
Nagpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,510,-,-,-,-,-,-,-,-,-,510.0
Namakkal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,-,-,-,-,-,-,-,-,-,500.0
Patna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,565,-,-,-,-,-,-,-,-,-,565.0
Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,540,-,-,-,-,-,-,-,-,-,540.0
Raipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,520,-,-,-,-,-,-,-,-,-,520.0
Ranchi  (CC),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,562,-,-,-,-,-,-,-,-,-,562.0
Surat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,535,-,-,-,-,-,-,-,-,-,535.0
Varanasi (CC),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,553,-,-,-,-,-,-,-,-,-,553.0
Vijayawada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,525,-,-,-,-,-,-,-,-,-,525.0
Vizag,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,520,-,-,-,-,-,-,-,-,-,520.0
W.Godavari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,520,-,-,-,-,-,-,-,-,-,520.0
Warangal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,497,-,-,-,-,-,-,-,-,-,497.0
